82,平常点(In-class Points),100,学期中に期日を決めて3回の小レポートを提出(50%) 、同時に、授業の理解度を問う３回の小テストを行う(50%)
83,筆記試験(Written Exam),70,""
83,平常点(In-class Points),30,出席およびリアクションペーパーの内容(30%)
84,レポート試験(Report Exam),70,""
84,平常点(In-class Points),30,リアクションペーパーの内容(20%) 、出席および授業参加(10%)
85,筆記試験(Written Exam),80,""
85,平常点(In-class Points),20,小レポート(20%)
86,筆記試験(Written Exam),70,""
86,平常点(In-class Points),30,小テストなど(30%)
87,筆記試験(Written Exam),70,""
87,平常点(In-class Points),30,小テストなど(30%)
88,筆記試験(Written Exam),70,""
88,平常点(In-class Points),30,小テストなど(30%)
89,筆記試験(Written Exam),50,""
89,平常点(In-class Points),50,口頭発表(20%) 、コメントカード兼出席票(30%)
90,筆記試験(Written Exam),60,""
90,平常点(In-class Points),40,最終レポート(Final Report)(40%)
91,レポート試験(Report Exam),100,""
92,平常点(In-class Points),100,Class attendance and participation(60%) 、最終レポート(Final Report)(15%) 、Effort(25%)
93,平常点(In-class Points),100,Class attendance and participation(60%) 、最終レポート(Final Report)(15%) 、Effort(25%)
94,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、授業への参加態度(50%) 、技術の習熟度(20%)
95,平常点(In-class Points),100,授業への参加度(50%) 、グループワークの取り組み(20%) 、レポート(30%)
96,平常点(In-class Points),100,授業への参加度(50%) 、グループワークの取り組み(20%) 、レポート(30%)
97,筆記試験(Written Exam),50,""
97,平常点(In-class Points),50,予習ノート(30%) 、議論への参加態度(20%)
98,平常点(In-class Points),100,各回のコメントペーパーの内容(30%) 、中間レポート(30%) 、最終レポート(Final Report)(40%)
99,レポート試験(Report Exam),100,""
100,平常点(In-class Points),100,口頭発表(30%) 、出席兼コメントカード(30%) 、口頭発表のまとめレポート(40%)
101,平常点(In-class Points),100,最終レポート(Final Report)(30%) 、授業ごとのコメントカードの内容(40%) 、最終テスト(Final Test)(30%)
102,平常点(In-class Points),100,最終テスト(Final Test)(40%) 、毎週の漢文課題(10%) 、平常点（リアクションペーパーによる着眼点考察）(50%)
103,筆記試験(Written Exam),60,""
103,平常点(In-class Points),40,講義で実施するドリル(40%)
104,筆記試験(Written Exam),41,""
104,平常点(In-class Points),59,中間レポート二回(29%) 、ディスカッションへの参加(15%) 、リアクションペーパー(15%)
105,レポート試験(Report Exam),60,""
105,平常点(In-class Points),40,コメントカード兼出席票(40%)
106,平常点(In-class Points),100,授業への参加度とレスポンス・ペーパーの内容(30%) 、レポート(40%) 、最終テスト(Final Test)(30%)
107,筆記試験(Written Exam),60,""
107,平常点(In-class Points),40,出席とコメントカード(25%) 、授業内レポート(15%)
108,レポート試験(Report Exam),60,""
108,平常点(In-class Points),40,毎回のリアクションペーパー(40%)
109,平常点(In-class Points),100,最終テスト(Final Test)(30%) 、ライブレポート(20%) 、ミュージック・ビデオ分析レポート(20%) 、不定期に行うレスポンス・ペーパーおよび参加度(30%)
110,レポート試験(Report Exam),50,""
110,平常点(In-class Points),50,リアクションペーパー(25%) 、出席率(25%)
111,筆記試験(Written Exam),80,""
111,平常点(In-class Points),20,授業内レポート(20%)
112,平常点(In-class Points),100,最終レポート(Final Report)(40%) 、活動報告会資料・プレゼンテーション(50%) 、事前学習・事後学習時のリアクションペーパー(10%)
113,筆記試験(Written Exam),50,""
113,平常点(In-class Points),50,授業中の課題(発表・小レポート)(25%) 、出席兼コメントペーパーの内容(なお、単位取得のためには4分の3以上の出席を必要とする。(25%)
114,筆記試験(Written Exam),80,""
114,平常点(In-class Points),20,小レポート(20%)
115,筆記試験(Written Exam),80,""
115,平常点(In-class Points),20,中間レポート(20%)
116,筆記試験(Written Exam),80,""
116,平常点(In-class Points),20,コメントペーパーの内容(20%)
117,筆記試験(Written Exam),60,""
117,平常点(In-class Points),40,小エッセイ(30%) 、授業参加度(10%)
118,筆記試験(Written Exam),70,""
118,平常点(In-class Points),30,出席及びコメントカードの提出(30%)
119,筆記試験(Written Exam),80,""
119,平常点(In-class Points),20,授業への取り組み(20%)
120,筆記試験(Written Exam),60,""
120,平常点(In-class Points),40,中間テスト(40%)
121,筆記試験(Written Exam),70,""
121,平常点(In-class Points),30,出席兼コメントペーパーの内容(30%)
122,筆記試験(Written Exam),50,""
122,平常点(In-class Points),50,小テスト（ランダム）(40%) 、授業内ディスカッションなどへの貢献(10%) (50%)
123,筆記試験(Written Exam),50,""
